         551452 function calls (523216 primitive calls) in 0.370 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      594    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      594    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      548    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
      541    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      540    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      540    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      540    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
      540    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:304(acquire)
      540    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      540    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:162(__enter__)
      540    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      540    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
      540    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      540    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
      540    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      526    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      526    0.001    0.000    0.003    0.000 enum.py:1562(__and__)
      496    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
  488/441    0.001    0.000    0.010    0.000 typing.py:392(inner)
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      468    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
      463    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      459    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      458    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
      453    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      452    0.001    0.000    0.001    0.000 enum.py:850(__setattr__)
      445    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
