url: https://finance.yahoo.com/quote/MSFT/financials/?p=msft
Error check: 'NoneType' object has no attribute 'find'
end
('Total Revenue', '270,010,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ', '168,088,000 ')
         1192357 function calls (1161402 primitive calls) in 3.151 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1985    0.002    0.000    0.083    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     2002    0.082    0.000    0.082    0.000 {built-in method nt.stat}
        1    0.007    0.007    0.081    0.081 dammit.py:128(_populate_class_variables)
        5    0.000    0.000    0.080    0.016 element.py:2723(find_all)
        5    0.000    0.000    0.080    0.016 element.py:1079(_find_all)
        5    0.000    0.000    0.079    0.016 filter.py:163(find_all)
       45    0.008    0.000    0.079    0.002 filter.py:129(filter)
4081/3153    0.002    0.000    0.077    0.000 {built-in method builtins.hasattr}
        3    0.000    0.000    0.075    0.025 element.py:2692(find)
        7    0.000    0.000    0.073    0.010 six.py:85(_import_module)
        4    0.000    0.000    0.073    0.018 six.py:117(_resolve)
 6163/294    0.031    0.000    0.072    0.000 _compiler.py:37(_compile)
     3276    0.011    0.000    0.070    0.000 parser.py:378(parse_endtag)
    23/17    0.000    0.000    0.069    0.004 <frozen importlib._bootstrap>:422(spec_from_loader)
       32    0.000    0.000    0.069    0.002 six.py:190(find_spec)
        4    0.000    0.000    0.069    0.017 six.py:215(is_package)
        1    0.000    0.000    0.069    0.069 six.py:120(__getattr__)
        1    0.000    0.000    0.064    0.064 connectionpool.py:1(<module>)
    11347    0.008    0.000    0.062    0.000 filter.py:721(match)
        3    0.000    0.000    0.058    0.019 parser.py:1(<module>)
     4785    0.037    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
     3470    0.007    0.000    0.056    0.000 _htmlparser.py:204(handle_endtag)
      407    0.003    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
     7186    0.013    0.000    0.053    0.000 __init__.py:826(endData)
      407    0.053    0.000    0.053    0.000 {method 'read' of '_io.BufferedReader' objects}
     5853    0.012    0.000    0.052    0.000 filter.py:538(matches_tag)
      407    0.052    0.000    0.052    0.000 {built-in method marshal.loads}
     3471    0.018    0.000    0.051    0.000 element.py:1626(__init__)
        1    0.000    0.000    0.051    0.051 financial_enhanced.py:100(check_no_data)
        1    0.000    0.000    0.049    0.049 css_parser.py:428(CSSParser)
        2    0.000    0.000    0.049    0.025 api.py:1(<module>)
        6    0.000    0.000    0.049    0.008 utils.py:1(<module>)
        3    0.000    0.000    0.049    0.016 http11.py:1(<module>)
        1    0.000    0.000    0.048    0.048 page.py:1(<module>)
     3469    0.004    0.000    0.048    0.000 __init__.py:1053(handle_endtag)
       16    0.000    0.000    0.047    0.003 css_parser.py:306(__init__)
  448/442    0.001    0.000    0.047    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    0.044    0.044 feedparser.py:1(<module>)
        1    0.000    0.000    0.040    0.040 _fileio.py:1(<module>)
        1    0.000    0.000    0.040    0.040 _policybase.py:1(<module>)
        1    0.000    0.000    0.038    0.038 _connection.py:1(<module>)
        1    0.000    0.000    0.038    0.038 _client.py:1(<module>)
        1    0.000    0.000    0.038    0.038 to_thread.py:1(<module>)
        1    0.000    0.000    0.037    0.037 _client.py:239(_get_proxy_map)
        1    0.000    0.000    0.037    0.037 _utils.py:30(get_environment_proxies)
        1    0.000    0.000    0.037    0.037 request.py:2716(getproxies)
        1    0.000    0.000    0.036    0.036 request.py:2667(getproxies_registry)
        1    0.036    0.036    0.036    0.036 {built-in method winreg.OpenKey}
     5853    0.012    0.000    0.035    0.000 filter.py:616(_attribute_match)
10494/10438    0.006    0.000    0.034    0.000 typing.py:349(inner)
      551    0.005    0.000    0.034    0.000 _connection.py:438(next_event)
        1    0.000    0.000    0.034    0.034 _models.py:961(close)
        1    0.000    0.000    0.034    0.034 _client.py:156(close)
        1    0.000    0.000    0.034    0.034 default.py:130(close)
        1    0.000    0.000    0.034    0.034 connection_pool.py:409(close)
        2    0.000    0.000    0.034    0.017 connection_pool.py:270(_assign_requests_to_connections)
        1    0.000    0.000    0.033    0.033 connection.py:187(has_expired)
        2    0.000    0.000    0.033    0.017 sync.py:173(get_extra_info)
        1    0.000    0.000    0.033    0.033 http11.py:274(has_expired)
        1    0.000    0.000    0.033    0.033 _utils.py:8(is_socket_readable)
        1    0.033    0.033    0.033    0.033 {built-in method select.select}
        1    0.000    0.000    0.032    0.032 base_events.py:1(<module>)
        1    0.000    0.000    0.032    0.032 ssl_.py:1(<module>)
        1    0.000    0.000    0.031    0.031 coverage.py:1(<module>)
    32031    0.031    0.000    0.031    0.000 {method 'match' of 're.Pattern' objects}
        3    0.000    0.000    0.030    0.010 util.py:1(<module>)
        1    0.000    0.000    0.029    0.029 financial_enhanced.py:111(get_data_field)
        1    0.000    0.000    0.029    0.029 sessions.py:1(<module>)
        1    0.000    0.000    0.028    0.028 adapters.py:1(<module>)
        1    0.000    0.000    0.027    0.027 chromium_downloader.py:1(<module>)
        1    0.000    0.000    0.026    0.026 _auth.py:1(<module>)
     3470    0.019    0.000    0.026    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
        1    0.000    0.000    0.026    0.026 url.py:1(<module>)
        2    0.025    0.012    0.025    0.012 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        2    0.000    0.000    0.024    0.012 _models.py:1(<module>)
      814    0.005    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
        1    0.000    0.000    0.024    0.024 css_parser.py:326(__init__)
        1    0.000    0.000    0.024    0.024 pyquery.py:1(<module>)
        1    0.000    0.000    0.024    0.024 _events.py:1(<module>)
      571    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
100829/93103    0.019    0.000    0.022    0.000 {built-in method builtins.len}
      448    0.003    0.000    0.022    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
    18/17    0.000    0.000    0.022    0.001 <frozen importlib._bootstrap_external>:1231(create_module)
      523    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
    18/17    0.017    0.001    0.022    0.001 {built-in method _imp.create_dynamic}
    34173    0.016    0.000    0.022    0.000 _parser.py:162(__getitem__)
      250    0.001    0.000    0.021    0.000 _decoders.py:95(decode)
13418/13417    0.007    0.000    0.021    0.000 {built-in method builtins.next}
      250    0.021    0.000    0.021    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     1163    0.014    0.000    0.020    0.000 _compiler.py:241(_optimize_charset)
     3278    0.008    0.000    0.019    0.000 __init__.py:867(object_was_parsed)
     8704    0.007    0.000    0.019    0.000 filter.py:627(_match_attribute_value_helper)
     3469    0.010    0.000    0.018    0.000 __init__.py:950(_popToTag)
        1    0.000    0.000    0.018    0.018 cd.py:1(<module>)
 6205/571    0.014    0.000    0.018    0.000 _parser.py:172(getwidth)
       16    0.000    0.000    0.018    0.001 css_parser.py:1149(process_selectors)
    56/16    0.001    0.000    0.018    0.001 css_parser.py:925(parse_selectors)
        1    0.000    0.000    0.018    0.018 windows_events.py:1(<module>)
        1    0.000    0.000    0.018    0.018 cli.py:1(<module>)
    19781    0.009    0.000    0.018    0.000 _parser.py:252(get)
      551    0.003    0.000    0.018    0.000 _connection.py:410(_extract_next_receive_event)
       29    0.000    0.000    0.018    0.001 dataclasses.py:1219(wrap)
       29    0.001    0.000    0.018    0.001 dataclasses.py:884(_process_class)
        2    0.000    0.000    0.017    0.009 models.py:1(<module>)
      294    0.002    0.000    0.017    0.000 _compiler.py:509(_compile_info)
        2    0.000    0.000    0.017    0.008 _sockets.py:1(<module>)
   108120    0.017    0.000    0.017    0.000 {method 'append' of 'list' objects}
      407    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
86953/86933    0.015    0.000    0.016    0.000 {built-in method builtins.isinstance}
      832    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:392(cached)
     3470    0.005    0.000    0.015    0.000 parser.py:344(check_for_whole_start_tag)
        2    0.000    0.000    0.015    0.008 clean.py:1(<module>)
    13771    0.010    0.000    0.015    0.000 _markupbase.py:44(updatepos)
        1    0.000    0.000    0.015    0.015 compat.py:1(<module>)
        1    0.000    0.000    0.015    0.015 _headers.py:1(<module>)
      425    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
      385    0.002    0.000    0.015    0.000 typing.py:1346(__init__)
        1    0.000    0.000    0.014    0.014 _lxml.py:1(<module>)
        1    0.000    0.000    0.014    0.014 std.py:1(<module>)
      271    0.000    0.000    0.014    0.000 _parser.py:94(closegroup)
  211/155    0.000    0.000    0.014    0.000 typing.py:476(__getitem__)
    29788    0.014    0.000    0.014    0.000 _parser.py:231(__next)
    44/32    0.000    0.000    0.014    0.000 css_parser.py:579(parse_pseudo_class)
    40/31    0.000    0.000    0.013    0.000 css_parser.py:746(parse_pseudo_open)
    18/17    0.000    0.000    0.013    0.001 <frozen importlib._bootstrap_external>:1239(exec_module)
    18/17    0.004    0.000    0.013    0.001 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.012    0.012 cssselectpatch.py:1(<module>)
      155    0.001    0.000    0.012    0.000 typing.py:653(Union)
        3    0.000    0.000    0.012    0.004 request.py:1(<module>)
