url: https://finance.yahoo.com/quote/MSFT/financials/?p=msft
Error check: 'NoneType' object has no attribute 'find'
end
('Total Revenue', '270,010,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ', '168,088,000 ')
         1098894 function calls (1070575 primitive calls) in 3.040 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.065    0.009 six.py:85(_import_module)
        4    0.000    0.000    0.065    0.016 six.py:117(_resolve)
     1555    0.001    0.000    0.065    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.065    0.065 compat.py:1(<module>)
        1    0.064    0.064    0.064    0.064 {method 'connect' of '_socket.socket' objects}
     1574    0.064    0.000    0.064    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.063    0.063 client.py:206(_read_headers)
        1    0.000    0.000    0.063    0.063 ssl_.py:364(ssl_wrap_socket)
        1    0.000    0.000    0.063    0.063 ssl_.py:490(_ssl_wrap_socket_impl)
        1    0.000    0.000    0.063    0.063 ssl.py:511(wrap_socket)
        1    0.000    0.000    0.063    0.063 ssl.py:1018(_create)
        1    0.000    0.000    0.062    0.062 ssl.py:1339(do_handshake)
        1    0.062    0.062    0.062    0.062 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        6    0.000    0.000    0.062    0.010 utils.py:1(<module>)
     3471    0.018    0.000    0.062    0.000 element.py:1626(__init__)
    23/17    0.000    0.000    0.061    0.004 <frozen importlib._bootstrap>:422(spec_from_loader)
       22    0.000    0.000    0.061    0.003 six.py:190(find_spec)
        4    0.000    0.000    0.061    0.015 six.py:215(is_package)
        1    0.000    0.000    0.061    0.061 six.py:120(__getattr__)
    11347    0.008    0.000    0.060    0.000 filter.py:721(match)
     3470    0.008    0.000    0.057    0.000 _htmlparser.py:204(handle_endtag)
     7186    0.014    0.000    0.056    0.000 __init__.py:826(endData)
        3    0.000    0.000    0.052    0.017 parser.py:1(<module>)
     5853    0.012    0.000    0.051    0.000 filter.py:538(matches_tag)
        1    0.000    0.000    0.050    0.050 page.py:1(<module>)
     3469    0.004    0.000    0.049    0.000 __init__.py:1053(handle_endtag)
        1    0.000    0.000    0.048    0.048 css_parser.py:428(CSSParser)
       16    0.000    0.000    0.046    0.003 css_parser.py:306(__init__)
      311    0.002    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        1    0.000    0.000    0.046    0.046 financial.py:68(check_no_data)
     3823    0.029    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
  352/345    0.001    0.000    0.044    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    0.043    0.043 sessions.py:457(prepare_request)
      311    0.043    0.000    0.043    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.041    0.041 utils.py:207(get_netrc_auth)
        2    0.000    0.000    0.039    0.020 api.py:1(<module>)
        1    0.000    0.000    0.038    0.038 feedparser.py:1(<module>)
     3470    0.029    0.000    0.036    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
        1    0.000    0.000    0.036    0.036 cookiejar.py:1(<module>)
        1    0.000    0.000    0.035    0.035 _policybase.py:1(<module>)
        1    0.000    0.000    0.033    0.033 ssl_.py:1(<module>)
     5853    0.011    0.000    0.033    0.000 filter.py:616(_attribute_match)
        1    0.000    0.000    0.032    0.032 coverage.py:1(<module>)
    31925    0.032    0.000    0.032    0.000 {method 'match' of 're.Pattern' objects}
        3    0.000    0.000    0.032    0.011 request.py:1(<module>)
        1    0.000    0.000    0.032    0.032 financial.py:79(get_data_field)
        1    0.000    0.000    0.031    0.031 base_events.py:1(<module>)
        3    0.000    0.000    0.030    0.010 util.py:1(<module>)
        1    0.000    0.000    0.027    0.027 chromium_downloader.py:1(<module>)
        1    0.000    0.000    0.026    0.026 url.py:1(<module>)
        1    0.000    0.000    0.024    0.024 css_parser.py:326(__init__)
       37    0.000    0.000    0.024    0.001 response.py:398(_decode)
       38    0.002    0.000    0.023    0.001 response.py:88(decompress)
    18/16    0.000    0.000    0.023    0.001 <frozen importlib._bootstrap_external>:1231(create_module)
    18/16    0.018    0.001    0.023    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.023    0.023 pyquery.py:1(<module>)
        3    0.000    0.000    0.022    0.007 __init__.py:108(import_module)
        1    0.000    0.000    0.022    0.022 compat.py:30(_resolve_char_detection)
        3    0.000    0.000    0.022    0.007 <frozen importlib._bootstrap>:1192(_gcd_import)
        1    0.000    0.000    0.022    0.022 sessions.py:1(<module>)
    33440    0.016    0.000    0.022    0.000 _parser.py:162(__getitem__)
       37    0.022    0.001    0.022    0.001 {method 'decompress' of 'zlib.Decompress' objects}
