url: https://finance.yahoo.com/quote/MSFT/financials/?p=msft
Error check: 'NoneType' object has no attribute 'find'
end
('Total Revenue', '270,010,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ', '168,088,000 ')
         1118989 function calls (1089904 primitive calls) in 3.070 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.083    0.083 ssl.py:1018(_create)
        1    0.000    0.000    0.082    0.082 ssl.py:1339(do_handshake)
        1    0.082    0.082    0.082    0.082 {method 'do_handshake' of '_ssl._SSLSocket' objects}
  373/367    0.001    0.000    0.079    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.005    0.005    0.079    0.079 dammit.py:128(_populate_class_variables)
        1    0.000    0.000    0.078    0.078 connectionpool.py:1(<module>)
        1    0.075    0.075    0.075    0.075 {method 'connect' of '_socket.socket' objects}
 6102/283    0.032    0.000    0.073    0.000 _compiler.py:37(_compile)
     3276    0.011    0.000    0.072    0.000 parser.py:378(parse_endtag)
        5    0.000    0.000    0.071    0.014 element.py:2723(find_all)
        5    0.000    0.000    0.071    0.014 element.py:1079(_find_all)
        5    0.000    0.000    0.071    0.014 filter.py:163(find_all)
       45    0.008    0.000    0.071    0.002 filter.py:129(filter)
        3    0.000    0.000    0.067    0.022 element.py:2692(find)
     1654    0.001    0.000    0.063    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1671    0.063    0.000    0.063    0.000 {built-in method nt.stat}
    18/17    0.000    0.000    0.059    0.003 <frozen importlib._bootstrap_external>:1231(create_module)
    18/17    0.054    0.003    0.059    0.003 {built-in method _imp.create_dynamic}
     3470    0.007    0.000    0.057    0.000 _htmlparser.py:204(handle_endtag)
     3471    0.016    0.000    0.056    0.000 element.py:1626(__init__)
    11347    0.007    0.000    0.056    0.000 filter.py:721(match)
        1    0.000    0.000    0.056    0.056 ssl.py:1(<module>)
        3    0.000    0.000    0.054    0.018 parser.py:1(<module>)
     7186    0.012    0.000    0.053    0.000 __init__.py:826(endData)
     3469    0.004    0.000    0.049    0.000 __init__.py:1053(handle_endtag)
        1    0.000    0.000    0.048    0.048 css_parser.py:428(CSSParser)
        1    0.000    0.000    0.047    0.047 page.py:1(<module>)
        6    0.000    0.000    0.047    0.008 utils.py:1(<module>)
     5853    0.011    0.000    0.046    0.000 filter.py:538(matches_tag)
       16    0.000    0.000    0.046    0.003 css_parser.py:306(__init__)
     4070    0.029    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        1    0.000    0.000    0.043    0.043 financial_enhanced.py:100(check_no_data)
      332    0.002    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      332    0.041    0.000    0.041    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.040    0.040 ssl_.py:1(<module>)
        1    0.000    0.000    0.039    0.039 feedparser.py:1(<module>)
        1    0.000    0.000    0.039    0.039 ssl.py:591(load_default_certs)
        2    0.000    0.000    0.038    0.019 api.py:1(<module>)
        2    0.000    0.000    0.038    0.019 ssl.py:577(_load_windows_store_certs)
        1    0.000    0.000    0.037    0.037 _api.py:1(<module>)
        1    0.000    0.000    0.036    0.036 _client.py:1(<module>)
        1    0.000    0.000    0.036    0.036 _policybase.py:1(<module>)
     3470    0.026    0.000    0.033    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
        1    0.000    0.000    0.032    0.032 base_events.py:1(<module>)
        1    0.000    0.000    0.031    0.031 url.py:1(<module>)
     5853    0.010    0.000    0.031    0.000 filter.py:616(_attribute_match)
        2    0.030    0.015    0.030    0.015 {built-in method _ssl.enum_certificates}
    31903    0.030    0.000    0.030    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.030    0.030 coverage.py:1(<module>)
        3    0.000    0.000    0.029    0.010 util.py:1(<module>)
        1    0.000    0.000    0.028    0.028 financial_enhanced.py:111(get_data_field)
        1    0.000    0.000    0.027    0.027 _auth.py:1(<module>)
        1    0.000    0.000    0.026    0.026 chromium_downloader.py:1(<module>)
        1    0.000    0.000    0.025    0.025 css_parser.py:326(__init__)
10245/10198    0.006    0.000    0.024    0.000 typing.py:349(inner)
        1    0.000    0.000    0.023    0.023 pyquery.py:1(<module>)
    33845    0.016    0.000    0.022    0.000 _parser.py:162(__getitem__)
        1    0.000    0.000    0.022    0.022 sessions.py:1(<module>)
        1    0.000    0.000    0.021    0.021 _models.py:1(<module>)
        1    0.000    0.000    0.021    0.021 adapters.py:1(<module>)
     1136    0.014    0.000    0.020    0.000 _compiler.py:241(_optimize_charset)
 6126/542    0.015    0.000    0.019    0.000 _parser.py:172(getwidth)
        3    0.019    0.006    0.019    0.006 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
96525/89484    0.016    0.000    0.019    0.000 {built-in method builtins.len}
     3278    0.007    0.000    0.019    0.000 __init__.py:867(object_was_parsed)
    19558    0.010    0.000    0.018    0.000 _parser.py:252(get)
      664    0.004    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
     3469    0.010    0.000    0.018    0.000 __init__.py:950(_popToTag)
